FECHA;OFIC.;N.DOC.;DESCRIPCION;DEBITO;CREDITO;SALDO;;
31-Oct-24;901;825101176;INTERES A SU FAVOR;0.00;1.34;381.00;;
18-Oct-24;12;35717204;TRANSFERENCIA INTERNET;7.00;0.00;374.00;;
18-Oct-24;12;45238555;TRANSFERENCIA INTERNET;0.00;2.50;376.50;;
18-Oct-24;12;45311178;TRANSFERENCIA INTERNET;5.00;0.00;371.50;;
18-Oct-24;12;51516088;TRANSFERENCIA INTERNET;5.00;0.00;366.50;;
18-Oct-24;12;56130250;TRANSFERENCIA INTERNET;100.00;0.00;266.50;;
18-Oct-24;12;56194468;TRANSFERENCIA INTERNET;100.00;0.00;166.50;;
18-Oct-24;12;56248265;TRANSFERENCIA INTERNET;100.00;0.00;66.50;;
23-Oct-24;8504;41854201;REG 7687179- 7681350 DBERTERO;0.00;300.00;366.50;;
24-Oct-24;12;527881;CANCELACION PLAZO FIJO;0.00;6648.00;7014.50;;
24-Oct-24;12;527881;TRANSFERENCIA INTERIOR;0.00;27.48;7041.98;;
24-Oct-24;12;527881;RETENCION 2% RENDIMIENTO FINANCIERO;0.55;0.00;7041.43;;
25-Oct-24;12;682894;CANCELACION PLAZO FIJO;0.00;12854.21;19895.64;;
25-Oct-24;12;682894;TRANSFERENCIA INTERIOR;0.00;682.63;20578.27;;
5-Nov-24;12;261435827;TRANSFERENCIA INTERNET;0.00;132.00;20710.27;;
8-Nov-24;12;32398831;TRANSFERENCIA INTERBANCARIA RECIBIDA;0.00;2.00;20712.27;;
