id,fecha_pago,monto_total,deudor_id,deudor_nombre
21948c2c10214a5d8026c507b42637fd,2024-01-25,100.0,d2,Ana Mock
ee52d541804642a0ba5ea64da428c49d,2024-01-18,60.0,d1,Carlos Mock
fae0a01ec060488ea9fde67da44a90ba,2024-02-06,150.0,d3,Miguel Mock
8b3ad8cd85a249289b091cad8f90c794,2024-02-25,100.0,d2,Ana Mock
e8db8050e786440592de30101f5e6038,2024-02-18,60.0,d1,Carlos Mock
26030b58c6ea4361a04e7503f601b52c,2024-03-08,150.0,d3,Miguel Mock
057203fb941d4d83ab818756b50a5993,2024-03-25,100.0,d2,Ana Mock
acc3a179bbd74191a508b445d6f74193,2024-03-18,60.0,d1,Carlos Mock
af65a98c5ea549b582cf9d94fc05c755,2024-04-06,150.0,d3,Miguel Mock
c0bbdc0c9b534100a2b09fbb66fa7599,2024-04-25,100.0,d2,Ana Mock
c6b114a1a7b44aaab8d8a0cc43e81334,2024-04-18,60.0,d1,Carlos Mock
020fdf9226014be3811972d01fca75cb,2024-05-07,150.0,d3,Miguel Mock
5c20e4c480204ad496a115dae8027e2f,2024-05-25,100.0,d2,Ana Mock
7b85d35c7088476ba52a22f94ca40830,2024-05-18,60.0,d1,Carlos Mock
e6c79b49eaa4426596e2f6c52018ae6d,2024-06-06,150.0,d3,Miguel Mock
a25ddfabdd7e400585c59579fab8605c,2024-06-25,100.0,d2,Ana Mock
b0ec12f0efd346fabddd8fc61d20eefc,2024-06-18,60.0,d1,Carlos Mock
